hsa-lncRNA10630	PRKG1-AS1
hsa-lncRNA4956	AC009502.4
hsa-lncRNA1490-2	RP11-430H10.2
hsa-lncRNA14903-8	LINC00114
hsa-lncRNA10162	RC3H1-IT1
hsa-lncRNA5219-1	RP11-290F20.1
hsa-lncRNA18154-2	LINC01030
hsa-lncRNA13493-2	RP11-678G14.2
hsa-lncRNA586-3	LINC01037
hsa-lncRNA11912-3	LINC01065
hsa-lncRNA6100	RP11-646E18.2
hsa-lncRNA5749-1	CTD-2185K10.1
hsa-lncRNA6141-2	RP11-513G11.2
hsa-lncRNA14025-1	AC009505.4
hsa-lncRNA8821-2	KB-1615E4.3
hsa-lncRNA4265-1	AC008069.1
hsa-lncRNA9660-3	RP13-614K11.2
hsa-lncRNA12597-1	RP11-387D10.2
hsa-lncRNA10363-3	RP11-295G20.2
hsa-lncRNA7314-3	CTB-114C7.3
hsa-lncRNA3147-5	LINC00924
hsa-lncRNA5189-2	RP5-1030M6.3
hsa-lncRNA5515-4	TUG1
hsa-lncRNA6034-1	RP11-6F2.5
hsa-lncRNA6892-16	CTD-2118P12.1
hsa-lncRNA5041-4	AC011298.2
hsa-lncRNA829-1	RP11-526P5.1
hsa-lncRNA3288-2	RP11-21B23.3
hsa-lncRNA13189-1	AP005530.2
hsa-lncRNA14264	AC078883.3
hsa-lncRNA5990-1	RP11-232M24.1
hsa-lncRNA6466	RP11-297P16.3
hsa-lncRNA18451	RP11-255A11.2
hsa-lncRNA369-2	RP4-639F20.1
hsa-lncRNA16263-2	CTD-2139B15.4
hsa-lncRNA18215	RP11-649G15.2
hsa-lncRNA16735	CTB-54I1.1
hsa-lncRNA8561	RP11-3G21.1
hsa-lncRNA6121-3	RP11-30O15.1
hsa-lncRNA11811-1	LINC00572
hsa-lncRNA12321-5	RP11-799P8.1
hsa-lncRNA15796-2	RP11-577G20.1
hsa-lncRNA4258-1	MYCNUN
hsa-lncRNA1752-2	RP11-627G23.1
hsa-lncRNA9152-2	RP11-470F18.1
hsa-lncRNA7332-3	CTB-164N12.1
hsa-lncRNA14666-1	RP4-644L1.2
hsa-lncRNA8072-8	AC002480.4
hsa-lncRNA7103-2	RP11-58B2.1
hsa-lncRNA7635-1	MLIP-IT1
hsa-lncRNA2194-4	RP11-407A16.7
hsa-lncRNA15643-4	RP11-539L10.3
hsa-lncRNA16415	AC025442.3
hsa-lncRNA2465	LINC00333
hsa-lncRNA11956-4	LINC00393
hsa-lncRNA6373-4	RP11-319E12.1
hsa-lncRNA350-2	RP5-943J3.1
hsa-lncRNA2895-6	PWRN1
hsa-lncRNA15597-5	RP11-513G11.4
hsa-lncRNA14020-2	RP11-332H14.2
hsa-lncRNA13539-2	AC007773.2
hsa-lncRNA7265-2	MIR143HG
hsa-lncRNA13973	AC021188.4
hsa-lncRNA5995-3	RP11-71N10.1
hsa-lncRNA17147-1	RP1-124C6.1
hsa-lncRNA10269-2	RP1-272L16.1
hsa-lncRNA10949-1	RP11-540A21.2
hsa-lncRNA5622-1	AC069277.2
hsa-lncRNA7372-1	RP11-798K23.1
hsa-lncRNA12623-7	CTD-2536I1.1
hsa-lncRNA1064	LINC00845
hsa-lncRNA15962-1	LINC00613
hsa-lncRNA12570-2	RP11-276M12.1
hsa-lncRNA11492-6	RP11-588G21.2
hsa-lncRNA12791-2	RP11-212I21.2
hsa-lncRNA3803-1	RP11-107K17.1
hsa-lncRNA2806	RP11-164H13.1
hsa-lncRNA17699-2	AC002386.1
hsa-lncRNA11248-6	RP11-166D19.1
hsa-lncRNA4098-2	CTD-2329C7.2
hsa-lncRNA127	RP1-159A19.4
hsa-lncRNA5238-1	RP5-1010E17.1
hsa-lncRNA14794-1	LINC00659
hsa-lncRNA10445-1	LINC00701
hsa-lncRNA9677	RP1-120G22.11
hsa-lncRNA7739-1	RP11-436D23.1
hsa-lncRNA5329-1	AP000855.4
hsa-lncRNA16546-4	CTC-254B4.1
hsa-lncRNA16300-3	CTD-2010I22.2
hsa-lncRNA10510-3	RP11-271F18.4
hsa-lncRNA4553-1	AC108051.3
hsa-lncRNA1583	RP11-672A2.3
hsa-lncRNA12009-2	LINC00353
hsa-lncRNA18206-3	RP11-1C8.4
hsa-lncRNA18024	RP11-109P6.2
hsa-lncRNA11265	STT3A-AS1
hsa-lncRNA4352-2	AC006369.2
hsa-lncRNA12026	GPC6-AS1
hsa-lncRNA10570-2	RP11-330O11.3
hsa-lncRNA4797-6	AC007405.6
hsa-lncRNA204-1	RP11-330M19.1
hsa-lncRNA16890-13	RP3-471C18.2
hsa-lncRNA13651-8	hsa-mir-7515.1
hsa-lncRNA5953	RP11-517B11.4
hsa-lncRNA4150-1	ZNF582-AS1
hsa-lncRNA8153-2	AC004854.4
hsa-lncRNA5903-1	LINC00901
hsa-lncRNA661	RP11-384C4.6
hsa-lncRNA18775-5	RP11-120D5.1
hsa-lncRNA8898	RP11-103H7.2
hsa-lncRNA7100-2	RP11-346J10.1
hsa-lncRNA10848-1	RP11-62L18.3
hsa-lncRNA2103	RP1-46F2.2
hsa-lncRNA1657-2	RP11-347E10.1
hsa-lncRNA12837-1	AC004158.2
hsa-lncRNA10469-2	LINC00704
hsa-lncRNA5759-3	RP11-14D22.1
hsa-lncRNA6569-3	RP11-553P9.2
hsa-lncRNA14373-9	AC007879.2
hsa-lncRNA13144-8	LINC00511
hsa-lncRNA13703-2	AC010745.4
hsa-lncRNA10394-3	RP11-80B9.4
hsa-lncRNA11398-2	RP11-428G5.5
hsa-lncRNA3653	RP11-118B18.1
hsa-lncRNA7145-1	RP11-492L8.2
hsa-lncRNA5404-3	AP000695.4
hsa-lncRNA9195-2	RP11-395D3.1
hsa-lncRNA14925	AP001630.5
hsa-lncRNA18804-3	RP1-30G7.2
hsa-lncRNA4171-5	AC093326.3
hsa-lncRNA12566-1	RP11-499F3.2
hsa-lncRNA9446-1	RP6-1O2.1
hsa-lncRNA7233-2	CTB-131B5.5
hsa-lncRNA11445-9	HOTAIR
hsa-lncRNA18252-1	RP11-973F15.2
hsa-lncRNA16429-10	CTC-537E7.2
hsa-lncRNA16226-1	CTD-2296D1.4
hsa-lncRNA17624-2	RP4-736H5.3
hsa-lncRNA13350-2	RP11-202D1.2
hsa-lncRNA8673-1	RP11-359E19.2
hsa-lncRNA2994-11	LINC00926
hsa-lncRNA6027-4	RP11-451G4.1
hsa-lncRNA4569	AC012360.4
hsa-lncRNA13141-3	RP11-84E24.2
hsa-lncRNA2528-3	LINC00551
hsa-lncRNA14994-1	RP1-76B20.12
hsa-lncRNA12187-1	RP11-99L13.1
hsa-lncRNA15576-3	RP11-132N15.1
hsa-lncRNA3554-8	RP11-47L3.1
hsa-lncRNA12837-2	AC004158.2
hsa-lncRNA2558	ARHGEF7-IT1
hsa-lncRNA4815-1	AC016751.3
hsa-lncRNA9747-1	RP4-799D16.1
hsa-lncRNA13910-1	AC010987.6
hsa-lncRNA3208-2	RP11-418I22.2
hsa-lncRNA860-1	LINC00705
hsa-lncRNA14739-3	RP11-380D15.3
hsa-lncRNA2294-1	LINC00398
hsa-lncRNA7567	HCG23
hsa-lncRNA11072-2	AP001258.4
hsa-lncRNA4817-2	AC009336.24
hsa-lncRNA5399	AP000688.8
hsa-lncRNA16226-7	CTD-2296D1.3
hsa-lncRNA11368	RP11-284H19.1
hsa-lncRNA14627	MIR663A
hsa-lncRNA7186-5	CTC-339D2.1
hsa-lncRNA10654-3	RP11-491H19.1
hsa-lncRNA10386-2	LINC01139
hsa-lncRNA16890-4	RP3-471C18.2
hsa-lncRNA12534-2	RP11-34F13.2
hsa-lncRNA18510-1	RP11-165H23.1
hsa-lncRNA14969-1	XXbac-B33L19.4
hsa-lncRNA15348-2	LINC00882
hsa-lncRNA6465-3	RP11-328K4.1
hsa-lncRNA653	RP11-372M18.2
hsa-lncRNA9729-8	LINC01141
hsa-lncRNA4254-1	AC011897.2
hsa-lncRNA5419-1	AF064860.7
hsa-lncRNA13506-7	CTD-2291D10.2
hsa-lncRNA2505-1	STK24-AS1
hsa-lncRNA6195	RP11-326I19.3
hsa-lncRNA6027-1	RP11-451G4.1
hsa-lncRNA7213-3	RP11-119J18.1
hsa-lncRNA18850	RP6-24A23.7
hsa-lncRNA3308-2	RP11-152O14.1
hsa-lncRNA13699-2	AC142119.1
hsa-lncRNA16028	RP11-781M16.2
hsa-lncRNA8012-2	AC073094.4
hsa-lncRNA15330-1	RP11-779P15.2
hsa-lncRNA10825-2	CTA-109P11.1
hsa-lncRNA1219-3	RP11-655H13.2
hsa-lncRNA9309-2	FAM225A
hsa-lncRNA7925-2	RP3-428L16.1
hsa-lncRNA15808-2	RP11-12K22.1
hsa-lncRNA7571-1	RP3-468B3.2
hsa-lncRNA2187	RP3-446N13.1
hsa-lncRNA10183	RP11-46A10.4
hsa-lncRNA6400-1	RP11-622A1.2
hsa-lncRNA10595-4	RP11-168P8.5
hsa-lncRNA6065-1	RP11-543D10.2
hsa-lncRNA1512-1	LINC00301
hsa-lncRNA11304	FAM138D
hsa-lncRNA18661-1	RP11-349E4.1
hsa-lncRNA11789-1	LINC00415
hsa-lncRNA4585-2	AC096669.1
hsa-lncRNA14585-3	LINC00261
hsa-lncRNA4115	AC092295.4
hsa-lncRNA17634-1	RP5-942I16.1
hsa-lncRNA5277-1	RP5-827L5.1
hsa-lncRNA14758-3	RP13-379L11.1
hsa-lncRNA14188-2	AC079163.1
hsa-lncRNA13089-1	RP11-515E23.2
hsa-lncRNA12563-2	LINC00927
hsa-lncRNA5236-2	AC005220.3
hsa-lncRNA4165-1	AC105393.2
hsa-lncRNA5138-5	RP4-737E23.2
hsa-lncRNA357-3	RP4-665J23.2
hsa-lncRNA5522	RP1-302D9.2
hsa-lncRNA13752	AC105398.3
hsa-lncRNA16707-1	CTD-2313P7.1
hsa-lncRNA10872-2	LINC00601
hsa-lncRNA9729-1	RP4-749H3.2
hsa-lncRNA18905-2	TTTY8B
hsa-lncRNA17678-7	RP11-682N22.1
hsa-lncRNA14373-8	AC007879.2
hsa-lncRNA6545	RP11-399F2.2
hsa-lncRNA2994-2	LINC00926
hsa-lncRNA17510-1	AC007036.6
hsa-lncRNA8896-2	RP11-65D17.1
hsa-lncRNA13662-24	LINC00298
hsa-lncRNA11215-3	LINC00900
hsa-lncRNA4545	AC092168.2
hsa-lncRNA5138-7	RP4-737E23.2
hsa-lncRNA12655-3	CTD-2544M6.2
hsa-lncRNA11198-2	RP11-356J5.4
